Phone Name,Camera Polarity,Camera Confidence,Performance Polarity,Performance Confidence,Display Polarity,Display Confidence,Battery Life Polarity,Battery Life Confidence
iphone 15,0.48797883178742557,96,0.45119189514189517,45,0.4265102532016595,32,0.448578446192853,59
Phone Name,0.0,0,0.0,0,0.0,0,0.0,0
pixel 8a,0.3683046016341935,35,0.33733426809815703,18,0.30314942002442,12,0.33537666862753973,41
nothing phone (2),0.4072624394575614,41,0.40048731173340546,32,0.4173846872082166,17,0.40717771811521813,26
google pixel 9,0.4723912699216068,44,0.456617408577974,24,0.3736923157733597,13,0.4757843216751776,29
iphone 14,0.48955282775410824,84,0.4645898652787542,45,0.39709638480911774,23,0.42643065699084604,40
samsung galaxy s23,0.4342175246591091,75,0.41680295811879275,59,0.3853791960485035,45,0.3967818457737261,77
SAMSUNG Galaxy S23 Ultra,0.523896633543543,44,0.47311365198417543,22,0.44568433809041275,27,0.43139069236038935,28
SAMSUNG Galaxy S23 FE,0.41674875564996533,62,0.3843021251896252,40,0.3785244458824005,22,0.3706450588552861,66
vivo x90,0.46078803334011664,24,0.37316922495493926,14,0.3133758503401361,7,0.3578260666802333,12
oneplus 12,0.37290145502645505,24,0.4932705971277399,21,0.39596016483516483,13,0.42320600414078674,23
galaxy z fold,0.0,0,0.0,0,0.0,0,0.0,0
iphone 13,0.530495876948246,62,0.492295030300957,29,0.4893371312329646,18,0.5032625698953823,22
